full_name,a,e,i,om,per_y,diameter,rot_per
"  8317 Eurysaces (4523 P-L)",5.289849250614703,.04487426947327758,.9463002279179721,208.1099263864931,12.1667097016216,,
"  9023 Mnesthus (1988 RG1)",5.235030983362834,.06369365865408652,23.91089195186093,159.8928773690359,11.978076620869,,30.66
"  9030 (1989 UX5)",5.235892294792029,.02249072905369298,4.237495413906728,76.82532576536747,11.9810328436693,,
"  9142 Rhesus (5191 T-3)",5.177618148599044,.1291720545633743,12.79607914541575,141.1866955707203,11.7815716588726,,
"  9430 Erichthonios (1996 HU10)",5.276202819240197,.05249007819712753,1.001487193963873,326.4574520827636,12.1196596718962,,
"  9431 (1996 PS1)",5.125893494744619,.08409535074966601,21.32875275334557,201.5301468413279,11.6054656261233,,
"  9590 (1991 DK1)",5.1105104969806,.04216601580908812,6.657945076736624,28.89137028858423,11.5532621877998,,
"  9694 Lycomedes (6581 P-L)",5.124003377487123,.03334684376208226,4.943142509662628,350.1623643982709,11.5990471348039,,18.2
"  9712 Nauplius (1973 SO1)",5.229177662142622,.1275198587444721,8.466014129369698,176.6712706234667,11.9579930926353,,
"  9713 Oceax (1973 SP1)",5.179110471392511,.05453757788538888,4.156762880483127,155.9990493033774,11.7866656540998,,
"  9790 (1995 OK8)",5.254373153665097,.05398921770731009,5.9136446868032,231.2078456573814,12.0445220352044,,
"  9799 (1996 RJ)",5.191822086905111,.04696669442178893,30.51189468619422,259.5567926353153,11.8300860810632,64.87,21.52
"  9807 (1997 SJ4)",5.20845295694812,.1543996210557504,4.971620703538141,232.5959349965019,11.886974229586,,
"  9817 Thersander (6540 P-L)",5.279284448696576,.04090428763324017,9.162418332024043,24.37520304148336,12.1302791707363,,
"  9818 Eurymachos (6591 P-L)",5.226217362662613,.005560914011633782,7.485368126016979,18.64810653627976,11.9478401873701,,
"  9828 Antimachos (1973 SS)",5.175357572375208,.0857582977870881,3.214911743092638,97.09239069964561,11.7738566538012,,
"  9857 (1991 EN)",5.144117084454157,.02529682423568978,19.62043299741216,289.3959951923783,11.6674102729268,,
"  9907 Oileus (6541 P-L)",5.297124086329681,.06622556442989343,8.143423715126429,153.7756744478292,12.1918166283333,,
" 10247 Amphiaraos (6629 P-L)",5.250954146441519,.008958692292564048,4.192084437648229,162.5557940636151,12.0327679381128,,34.26
" 10664 Phemios (5187 T-2)",5.17435309972936,.03211522560929215,8.583879106922181,240.13265450349,11.7704290810443,,
" 10989 Dolios (1973 SL1)",5.1670256466051,.0864856840294264,10.58502641324451,187.3581234879502,11.7454356013086,,
" 11089 (1994 CS8)",5.204286718781314,.02264064142163948,6.927593582281372,120.1215241034154,11.8727145075731,,
" 11251 Icarion (1973 SN1)",5.158024263575689,.002238608577768706,4.203868689081179,102.0001811402015,11.7147567021513,,
" 11252 Laertes (1973 SA2)",5.148078804420485,.02934393254554099,5.856471838889304,78.34308525061078,11.6808912775229,,
" 11273 (1988 RN11)",5.21739891047412,.09389501589178831,1.418866452403062,171.5727721033901,11.9176126846906,,
" 11275 (1988 SL3)",5.189950499390473,.09090447118543214,25.16437469200316,122.5752050802675,11.8236897584842,,
" 11351 (1997 TS25)",5.277021529488952,.06497081287817447,11.56398699188856,251.0821012826041,12.1224806991105,42.16,515.
" 11395 (1998 XN77)",5.215200612155332,.06595351989293345,24.13525154512672,213.2442463471153,11.9100814295855,64.71,17.50
" 11396 (1998 XZ77)",5.213073717970233,.0632661532130258,12.5828728830762,195.6946301192397,11.9027963119259,48.73,
" 11397 (1998 XX93)",5.236854606425866,.06235984673524304,21.00998668836021,261.224480435149,11.9843360104593,,12.70
" 11428 Alcinoos (4139 P-L)",5.321502747815723,.0137638746285339,17.3107742232673,3.353223509653561,12.2760779766908,,
" 11429 Demodokus (4655 P-L)",5.271731247820577,.02901239165778311,17.0698037569517,6.34224156980884,12.1042558554413,,
" 11487 (1988 RG10)",5.144985988383967,.04879766895186433,3.52813709974493,342.3790658871175,11.670366548968,,
" 11488 (1988 RM11)",5.152012922540449,.03862076104771544,3.35320410151947,140.7077627833362,11.6942834921944,,
" 11509 Thersilochos (1990 VL6)",5.179500900547271,.1435386206287664,18.50523252441957,214.7200486754069,11.7879984924303,,17.367
" 11552 Boucolion (1993 BD4)",5.257458740126594,.1543533701947869,14.68308521287674,138.3720148559977,12.0551331591088,,
" 11554 Asios (1993 BZ12)",5.261296752938363,.06153069244187018,13.71155469213455,128.1044779334553,12.068336172424,,
" 11663 (1997 GO24)",5.143915496070194,.1265955547294576,14.46610784802251,226.0134228886617,11.6667244434733,,
" 11668 Balios (1997 VV1)",5.180944693172794,.1411576130882225,4.677704712090494,20.11572443337626,11.7929277158086,,
" 11869 (1989 TS2)",5.247609426704823,.0415723195994489,11.30213493448124,149.6644586811601,12.021272933874,,
" 11887 Echemmon (1990 TV12)",5.183211503258237,.09255612941784336,24.04669411857893,242.65331178911,11.800668172296,,
" 12052 Aretaon (1997 JB16)",5.250372619467004,.06698821767667897,11.45705726605137,219.7658155555062,12.0307691055575,,8.05
" 12054 (1997 TT9)",5.135524831176614,.06508261809733526,10.09639743201916,44.54325813822328,11.6381902525432,,
" 12126 (1999 RM11)",5.234118787877869,.2075062714186778,2.042277540844919,351.0494449375292,11.974946017213,,
" 12238 Actor (1987 YU1)",5.17213753043491,.1238239876555001,21.1017285600439,227.5866854014679,11.7628700464192,,7.284
" 12242 Koon (1988 QY)",5.101868513666296,.06721959406797107,29.78464453778728,222.6559313763344,11.523969357465,,
" 12444 Prothoon (1996 GE19)",5.251940614210309,.07036413754330093,30.81807534272447,213.2064951642562,12.0361588918928,64.31,15.82
" 12649 Ascanios (2035 T-3)",5.151592797205161,.1483659270327796,6.571672981581268,337.6032560972946,11.6928530907128,,
" 12658 Peiraios (1973 SL)",5.152723068500597,.05816861969264506,1.777473584108209,111.8762818230368,11.6967014600273,,
" 12714 Alkimos (1991 GX1)",5.223618923495178,.03715435974210083,9.508122646842386,298.9128820337394,11.9389307196317,61.04,28.48
" 12916 Eteoneus (1998 TL15)",5.173057480435876,.01784343307740646,26.36706370981006,219.4355079626862,11.7660085167569,,
" 12917 (1998 TG16)",5.205806956799178,.08991655284587287,11.83050658241323,204.3493345281186,11.8779171427252,,
" 12921 (1998 WZ5)",5.242519040166611,.09322818011604185,12.79706566259911,160.2279937590158,12.0037855185607,,
" 12929 (1999 TZ1)",5.230189903092625,.04121006901516915,43.4559046510642,200.2319956527468,11.9614654233235,,9.2749
" 12972 Eumaios (1973 SF1)",5.148828617676746,.1505903916870431,8.445153783662347,40.54883470212659,11.6834433381167,,
" 12973 Melanthios (1973 SY1)",5.128079528330145,.05662036220575302,5.744069216183759,358.2210447226235,11.6128904708864,,
" 12974 Halitherses (1973 SB2)",5.181114619679295,.05083110309615942,7.610091259254219,15.19568870308825,11.793507903658,,
" 13060 (1991 EJ)",5.171405862198983,.1222482423188925,22.91010681568377,280.5120384014764,11.7603741110516,,
" 13062 Podarkes (1991 HN)",5.150791971632093,.01034838307812917,8.234480973029086,91.02006741800497,11.690126680001,,
